id,iso3,cntry,name,value,local_I,z_sim,p_raw,p_fdr,quadrant,cluster_raw,cluster_fdr,gistar_z,gistar_p_fdr,gistar_cluster
204009,BEN,Benin,Mono,0.484,0.2656012566576392,0.7348296159088551,0.24,0.324393063583815,High-High,Not-Significant,Not-Significant,0.4736861081220997,0.32439305633306503,Not-Significant
204010,BEN,Benin,Oueme,0.423,0.056539203785905046,0.5235062543329226,0.299,0.3758035714285714,High-High,Not-Significant,Not-Significant,0.2508957027147798,0.37613942513410487,Not-Significant
204011,BEN,Benin,Plateau,0.446,0.24165734459616886,1.130987908866655,0.143,0.23274825986078884,High-High,Not-Significant,Not-Significant,0.5784888784958006,0.23274827072625923,Not-Significant
204012,BEN,Benin,Zou,0.527,0.5115106390182367,1.35222685830349,0.091,0.17394141689373296,High-High,Not-Significant,Not-Significant,0.6077080840608189,0.17394141336187355,Not-Significant
214001,DOM,Dominican Republic,"Distrito Nacional, Santo Domingo",0.236,1.3088189404939485,1.7899271900731106,0.031,0.08009760589318601,Low-Low,Low-Low,Not-Significant,-1.183437266442715,0.08009760458413409,Not-Significant
214002,DOM,Dominican Republic,Azua,0.267,0.6820436406265272,1.5778943175005726,0.061,0.13498895899053628,Low-Low,Not-Significant,Not-Significant,-0.8201209958138834,0.13498896050739928,Not-Significant
214003,DOM,Dominican Republic,"Baoruco, Barahona, Independencia",0.274,0.36941968607937364,1.0157674909773666,0.157,0.24529064587973276,Low-Low,Not-Significant,Not-Significant,-0.5219402104280625,0.24529065407464126,Not-Significant
214005,DOM,Dominican Republic,Dajabón,0.237,0.09474501195314472,0.18421448925047645,0.429,0.4605103289977046,Low-Low,Not-Significant,Not-Significant,-0.24922762515456057,0.4608629297744625,Not-Significant
214006,DOM,Dominican Republic,Duarte,0.275,0.7111744807648072,2.3386099678393357,0.009,0.03597435897435897,Low-Low,Low-Low,Low-Low,-0.8938210085282929,0.035974357425742,Cold-Spot
214007,DOM,Dominican Republic,Elías Piña,0.226,0.5409376372321295,1.055152178195817,0.148,0.23785108820160364,Low-Low,Not-Significant,Not-Significant,-0.5906818125011359,0.23624398606271405,Not-Significant
