iso3,wb_gini,wb_lower_secondary_completion,wb_remittances_pct_gdp,wb_labor_productivity,wb_bribery_incidence,wb_wgi_rule_of_law
RWA,0.4311,0.5242,0.1037,0.9287,0.2053,0.4799
SAU,,0.0,0.0008,0.0,0.1591,0.4579
SDN,0.3156,0.5252,0.0829,0.878,0.2934,0.8547
SEN,0.36,0.613,0.3041,0.8861,0.0166,0.5409
SGP,,0.0,,0.0,0.0096,0.2138
SLB,0.38,0.4225,0.1717,0.9688,0.2252,0.4693
SLE,0.3489,0.4294,0.1315,0.9255,0.2993,0.6677
SLV,0.44,0.2732,0.6858,0.7886,0.052,0.6427
SMR,,0.0749,0.0314,,,0.2684
SOM,,,0.0843,0.9258,0.2407,0.9411
SRB,0.2844,0.0467,0.1828,0.5251,0.0341,0.54
SSD,0.5333,0.7945,0.2712,,0.4566,0.8945
STP,0.46,0.2508,0.2785,0.6571,0.2272,0.5706
SUR,0.4267,0.5773,0.1037,0.5701,0.1566,0.5417
SVK,0.0844,0.1514,0.0599,0.307,0.0343,0.3878
SVN,0.1044,0.0648,0.0355,0.1464,0.0294,0.3043
SWE,0.2067,0.0029,0.0209,0.0,0.0,0.1547
SWZ,0.7689,0.3243,0.0196,0.6149,0.1266,0.672
SYC,0.2689,0.0681,0.0157,,0.1146,0.3806
SYR,0.1422,0.5731,0.0755,0.8365,1.0,0.8627
TCD,0.3867,0.8158,0.0018,0.9428,0.5712,0.7889
TGO,0.3978,0.4337,0.2482,0.934,0.033,0.6266
THA,0.2956,0.0425,0.0513,0.6844,0.1642,0.5431
TJK,0.3578,0.1204,1.0,0.8304,0.1509,0.7367
TKM,0.4622,0.1888,0.0053,0.44,0.1771,0.7826
TLS,0.1933,0.1174,0.3363,0.9315,0.1642,0.6251
TON,0.1578,0.0056,1.0,0.8219,0.1785,0.3611
TTO,0.4489,0.0294,0.0222,0.4249,0.3759,0.5743
TUN,0.3044,0.1757,0.1813,0.639,0.1349,0.5729
TUR,0.5267,0.0823,0.0021,0.2229,0.0405,0.6687
TUV,0.4244,0.0,0.1189,,,0.2557
TZA,0.4556,0.6579,0.0407,0.9427,0.1148,0.6039
UGA,0.5044,0.7367,0.0758,0.9514,0.3408,0.6477
UKR,0.1244,0.1022,0.1797,0.6674,0.6229,0.644
URY,0.4444,0.2213,0.0048,0.4536,0.0213,0.3099
USA,0.4844,0.0,0.0009,0.0,0.0423,0.3076
UZB,0.2822,0.0243,0.412,0.7751,0.1242,0.6312
VAT,,,,,,
VCT,,0.0,0.2269,0.6475,0.082,0.3996
VEN,0.5489,0.1682,0.0071,,0.1719,0.9409
VNM,0.3578,0.0479,0.1453,0.787,0.5179,0.5628
VUT,0.2733,0.354,0.5357,0.9285,0.3913,0.4157
WSM,0.4156,0.0324,0.6859,0.7501,0.0392,0.2894
YEM,0.3711,0.55,0.344,,1.0,0.8803
ZAF,0.7578,0.1169,0.0061,0.5963,0.0256,0.4965
ZMB,0.7,0.447,0.0377,0.9151,0.1599,0.6122
ZWE,0.6733,0.344,0.2414,0.8856,0.741,0.7422
