iso3,outflow_pct_gdp,paid_usd,year,source
PSE,0.068,9330391,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PSS,1.515,183699831,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PST,0.566,355577064303,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PYF,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
QAT,5.253,11512087912,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ROU,0.551,2108527424,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
RUS,0.38,8270710000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
RWA,0.702,100015536,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SAS,0.292,13182827277,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SAU,3.756,46564898867,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SDN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SEN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SGP,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SLB,3.269,51778697,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SLE,0.139,9682869,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SLV,0.724,256055246,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SMR,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SOM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SRB,1.225,1103748226,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SSA,0.547,9991140025,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SSD,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SSF,0.512,10137539014,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SST,1.82,5655018346,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
STP,0.319,2620904,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SUR,2.041,90144564,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SVK,0.402,566205911,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SVN,0.787,574313501,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SWE,0.671,4052840483,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SWZ,0.56,27231435,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SXM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SYC,3.021,65478962,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SYR,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TCA,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TCD,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TEA,0.231,51383894516,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TEC,0.496,30397213668,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TGO,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
THA,1.526,8034488795,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TJK,4.126,586128284,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TKM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TLA,0.165,11207407541,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TLS,6.352,118507877,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TMN,0.11,2406003032,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TON,4.697,27764391,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TSA,0.292,13182827277,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TSS,0.512,10137539014,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TTO,0.586,150105444,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TUN,0.137,70343768,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TUR,0.113,1534000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TUV,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TZA,0.865,681881764,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
UGA,0.391,211063479,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
UKR,0.101,193000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
URY,0.17,137570760,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
USA,0.359,103179000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
UZB,0.641,737254767,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VCT,1.338,15486465,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VEN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VNM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VUT,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
WLD,0.561,622316223931,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
WSM,4.074,47900674,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
XKX,0.531,59435193,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
YEM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ZAF,0.248,993227782,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ZMB,0.47,118804959,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ZWE,0.105,43758724,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
