iso3,birthreg_incompleteness_collapsed,birthreg_incompleteness_temporal,childlabor_collapsed,childlabor_temporal,emdat_disaster_shock_collapsed,emdat_disaster_shock_temporal,ndgain_vuln_collapsed,ndgain_vuln_temporal,ucdp_conflict_intensity_collapsed,ucdp_conflict_intensity_temporal,unctad_export_concentration_collapsed,unctad_export_concentration_temporal,unhcr_idps_collapsed,unhcr_idps_temporal,unhcr_refugees_coo_collapsed,unhcr_refugees_coo_temporal
CHN,,,,,0.01571878564204475,0.031602950818522754,0.381528008944177,0.3800607222948972,7.097358008481343e-07,8.823901633547022e-07,0.177,0.4115357142857148,0.0,0.0,0.0021757944605120746,0.0023343283455561055
CIV,0.2829999999999999,0.2829999999999999,0.9125,0.9125,0.0014635705949384093,0.0015904495864167024,0.489171238041047,0.44639668673324234,9.394308239152784e-05,8.258739228435955e-05,0.184,0.14833928571428037,0.0,0.0029135956056146974,0.019393609928907006,0.02041712486846335
CMR,0.381,0.381,1.0,1.0,0.0613395036022841,0.04634877491576472,0.4856038789901,0.4541712963618598,0.13020303982894504,0.1278731629697638,0.117,0.0585,0.6656238978065456,0.6479795271999776,0.10387332068294518,0.07999520609336577
COD,0.599,0.599,1.0,1.0,0.15218635538101527,0.11720939518938761,0.560868774413191,0.4893387634332328,0.18283018732384385,0.18717265588832802,0.227,0.6038571428571443,0.9453544189124692,1.0,0.2098728392666056,0.18112690600788725
COG,0.040999999999999925,0.040999999999999925,0.7875,0.7875,0.18019398824657218,0.25301809848590473,0.522447247654126,0.4248444947837907,0.0004737120598089898,0.0005246947522592718,0.261,0.1305,0.0,0.09591610730447445,0.04442787504928579,0.04360997586492607
COL,0.03200000000000003,0.03200000000000003,0.13899999999999998,0.13899999999999998,0.023023458807329974,0.02567552573462585,0.405387730559821,0.3557558043357586,0.026036957769245733,0.027294737273119964,0.074,0.26164285714285523,1.0,1.0,0.030201358335039983,0.04333579968889097
COM,0.127,0.127,,,0.12894632991318075,0.2061635283969586,0.541041421544341,0.5349884386519568,0.0,0.0,0.129,0.32816071428571525,0.0,0.0,0.05358700618950692,0.04431711775957959
CPV,0.08599999999999997,0.08599999999999997,,,0.09364193896855835,0.07542357425289795,0.420444996081811,0.42944621210412026,0.0,0.0,0.268,0.634,0.0,0.0,0.0005334583149957038,0.0005497166959799182
CRI,0.0040000000000000036,0.0040000000000000036,0.03275,0.03275,0.16106413172940653,0.15036721289264685,0.376483069017729,0.34954959741939573,0.0,0.0,0.08,0.21151785714285476,0.0,0.0,0.0011150293085063871,0.001039828904380092
CUB,0.0020000000000000018,0.0020000000000000018,,,0.35760816037985454,0.4146442808269321,0.440582257844168,0.49503466153535525,0.0,0.0,0.088,0.3215000000000002,0.0,0.0,0.04915579843426778,0.03501842892093647
