iso3,country_name,composite_rank,national_pctile_risk,n_units,risk_mean,risk_p90,risk_max,worst_corridor_name,worst_corridor_risk,worst_corridor_top_decile,corridor_pctile,divergence,within_range,emdat_hotspots_95,emdat_in_layer
ECU,Ecuador,96.0,0.4809,14,0.3787,0.4255,0.4448,Chimborazo,0.4448,False,0.6137,0.1328,0.1357,0,True
MLI,Mali,33.0,0.8251,8,0.5779,0.641,0.6426,"Gao, Kidal",0.6426,True,0.9572,0.132,0.2333,0,True
CRI,Costa Rica,129.0,0.3005,7,0.328,0.3601,0.3629,Puntarenas,0.3629,False,0.4319,0.1314,0.0803,0,True
IRL,Ireland,157.0,0.1475,6,0.2263,0.269,0.2829,"Mid-West, South-East",0.2829,False,0.2764,0.1289,0.125,0,True
BRA,Brazil,111.0,0.3989,25,0.3195,0.3946,0.4007,"Pernambuco, Arquipelago de Fernando de Noronha",0.4007,False,0.5204,0.1215,0.291,0,True
SLV,El Salvador,66.0,0.6448,14,0.4553,0.503,0.5091,Morazán,0.5091,False,0.7588,0.114,0.1379,0,True
GRC,Greece,156.0,0.153,54,0.1916,0.2332,0.2795,Fthiotida,0.2795,False,0.2654,0.1124,0.1634,0,True
LAO,Laos,32.0,0.8306,18,0.5325,0.5944,0.6119,Khammuane,0.6119,True,0.9413,0.1107,0.3521,0,True
TZA,Tanzania,37.0,0.8033,23,0.4983,0.5687,0.5831,Morogoro,0.5831,True,0.9095,0.1062,0.286,0,True
CAN,Canada,165.0,0.1038,10,0.2099,0.2469,0.2511,Quebec,0.2511,False,0.2053,0.1014,0.0846,0,True
ZMB,Zambia,26.0,0.8634,8,0.5021,0.6196,0.6476,Western,0.6476,True,0.9641,0.1007,0.3458,0,True
PRY,Paraguay,69.0,0.6284,13,0.4276,0.4892,0.4927,Caazapá,0.4927,False,0.716,0.0875,0.2321,0,True
PAN,Panama,79.0,0.5738,7,0.3346,0.4414,0.4655,"Comarca Emberá, Darién",0.4655,False,0.6579,0.0841,0.2198,0,True
MYS,Malaysia,87.0,0.5301,13,0.3333,0.3867,0.4389,Kelantan,0.4389,False,0.6033,0.0733,0.1868,0,True
BFA,Burkina Faso,17.0,0.9126,13,0.5703,0.6164,0.6658,Centre-Nord,0.6658,True,0.973,0.0605,0.2733,0,True
CMR,Cameroon,19.0,0.9016,7,0.4323,0.5287,0.6295,"Nord, Adamoua, Extrème Nord",0.6295,True,0.953,0.0514,0.3744,0,True
KEN,Kenya,22.0,0.8852,8,0.4734,0.5755,0.6072,Northeastern,0.6072,True,0.9364,0.0512,0.3647,0,True
KHM,Cambodia,36.0,0.8087,21,0.4878,0.5451,0.5524,Prey Veng,0.5524,False,0.8487,0.0399,0.1774,0,True
HTI,Haiti,16.0,0.918,4,0.5938,0.628,0.6441,"Grand'Anse, Nippes, Sud (South)",0.6441,True,0.9578,0.0398,0.0739,0,True
ETH,Ethiopia,10.0,0.9508,11,0.5234,0.651,0.7276,"Oromia, Somali",0.7276,True,0.9903,0.0395,0.4917,0,True
GTM,Guatemala,43.0,0.7705,22,0.4374,0.4984,0.5347,Huehuetenango,0.5347,False,0.8086,0.0381,0.1961,0,True
MWI,Malawi,18.0,0.9071,26,0.5419,0.6055,0.6168,Nsanje,0.6168,True,0.944,0.0369,0.1921,0,True
SEN,Senegal,44.0,0.765,8,0.4356,0.5194,0.5305,"Kolda, Sedhiou",0.5305,False,0.8003,0.0352,0.2203,0,True
TGO,Togo,29.0,0.847,3,0.5255,0.5652,0.5679,Savanes,0.5679,False,0.8763,0.0293,0.1136,0,False
MUS,Mauritius,120.0,0.3497,10,0.2073,0.2241,0.3316,"Rodrigues, Agaléga Islands, Saint Brandon",0.3316,False,0.3753,0.0255,0.156,0,True
HND,Honduras,47.0,0.7486,18,0.4308,0.499,0.5163,Intibucá,0.5163,False,0.7733,0.0247,0.3035,0,True
CIV,Côte d'Ivoire,38.0,0.7978,9,0.4685,0.5356,0.5385,Bas Sassandra,0.5385,False,0.8182,0.0204,0.1408,0,False
MEX,Mexico,73.0,0.6066,32,0.3077,0.3891,0.4481,Oaxaca,0.4481,False,0.622,0.0154,0.2351,0,True
LSO,Lesotho,70.0,0.623,10,0.3758,0.4484,0.4533,Thaba-Tseka,0.4533,False,0.6351,0.0122,0.1308,0,True
LBR,Liberia,40.0,0.7869,5,0.4698,0.5168,0.5248,"Gbarpolu, Lofa",0.5248,False,0.792,0.0051,0.0953,0,True
MOZ,Mozambique,14.0,0.929,11,0.4789,0.5691,0.6042,Zambézia,0.6042,True,0.933,0.004,0.3912,0,True
NIC,Nicaragua,34.0,0.8197,12,0.4293,0.5332,0.5397,"Matagalpa, Atlantico Norte, Atlantico Sur, Zelaya",0.5397,False,0.8217,0.002,0.2243,0,True
IRN,Iran,64.0,0.6557,30,0.3776,0.4268,0.4469,South Khorasan,0.4469,False,0.6192,-0.0365,0.1997,0,True
SSD,South Sudan,4.0,0.9836,10,0.533,0.5933,0.6212,Warrap,0.6212,True,0.9461,-0.0375,0.191,0,True
UGA,Uganda,7.0,0.9672,36,0.4274,0.5071,0.5945,"Kibaale, Kagadi, Kakumiro",0.5945,True,0.924,-0.0432,0.3634,0,True
KGZ,Kyrgyzstan,89.0,0.5191,8,0.2579,0.3417,0.3703,"Oshskaya region, City of Osh",0.3703,False,0.4499,-0.0692,0.2343,0,True
SDN,Sudan,5.0,0.9781,15,0.4532,0.5413,0.5667,North Kordofan,0.5667,False,0.8742,-0.1039,0.2304,0,True
SLE,Sierra Leone,41.0,0.7814,14,0.4009,0.4558,0.4664,Koinadugu,0.4664,False,0.66,-0.1214,0.1743,0,True
MMR,Myanmar,9.0,0.9563,15,0.4462,0.521,0.5335,Shan,0.5335,False,0.8058,-0.1505,0.212,0,True
DOM,Dominican Republic,86.0,0.5355,23,0.2526,0.2906,0.3002,"El Seibo, Hato Mayor",0.3002,False,0.3165,-0.219,0.1821,0,True
MAR,Morocco,48.0,0.7432,13,0.3093,0.3927,0.402,Tanger-Tétouan-Al Hoceima,0.402,False,0.5218,-0.2214,0.2605,0,True
BWA,Botswana,76.0,0.5902,21,0.1787,0.2546,0.2905,"Ngamiland West, Delta",0.2905,False,0.2916,-0.2985,0.196,0,True
VEN,Venezuela,65.0,0.6503,22,0.2522,0.2903,0.3205,"Barinas, Mérida",0.3205,False,0.3511,-0.2992,0.1249,0,True
IRQ,Iraq,52.0,0.7213,15,0.2495,0.2903,0.3066,Salah Al-Deen,0.3066,False,0.3227,-0.3986,0.1174,0,True
EGY,Egypt,58.0,0.6885,24,0.1786,0.2386,0.2881,Fayoum,0.2881,False,0.2889,-0.3997,0.2078,0,True
JOR,Jordan,83.0,0.5519,12,0.1617,0.2079,0.2134,Zarqa,0.2134,False,0.1361,-0.4158,0.1026,0,False
PSE,"Palestine, State of",56.0,0.6995,16,0.169,0.2114,0.2392,Hebron,0.2392,False,0.1866,-0.5129,0.1453,0,True
