GEOLEVEL1,gdis_events,gdis_years
454302,12,9
454303,9,7
454304,4,4
454305,7,6
454306,6,5
454307,6,6
454308,8,8
454309,14,12
454310,18,15
454311,18,13
454312,8,7
454888,30,19
458001,24,13
458002,14,9
458003,42,17
458004,4,4
458005,3,3
458006,22,13
458007,10,9
458008,12,9
458009,4,3
458010,15,11
458011,45,18
458012,19,10
458013,16,8
466001,13,10
466002,14,11
466003,10,8
466004,12,9
466005,10,8
466006,17,8
466007,25,16
466009,10,9
480011,5,5
480012,2,2
480013,2,2
480014,2,2
480015,1,1
480016,1,1
480017,2,2
480018,1,1
480019,2,2
480020,10,9
484001,3,3
484002,22,15
484003,11,8
484004,9,8
484005,17,11
484006,15,11
484007,34,17
484008,20,14
484009,16,14
484010,12,10
484011,4,4
484012,36,22
484013,12,11
484014,28,19
484015,11,9
484016,26,21
484017,8,7
484018,8,7
484019,17,15
484020,56,23
484021,23,15
484022,2,2
484023,14,11
484024,8,7
484025,24,15
484026,14,9
484027,20,12
484028,24,15
484029,4,4
484030,48,23
484031,15,13
484032,9,9
496011,4,4
496021,4,4
496022,3,2
496023,5,4
496041,9,6
496043,4,3
496044,6,3
496045,7,4
496046,10,6
496048,8,4
496061,2,2
496062,8,6
496063,10,6
496064,10,7
496065,8,6
496067,10,6
496081,3,3
496082,17,7
496083,11,7
496084,13,5
496085,16,7
504001,16,12
504002,16,12
504003,14,9
504004,14,9
504005,13,8
504006,11,6
504007,13,7
504008,11,6
504009,10,7
504010,2,1
508001,2,2
508002,10,8
508003,36,18
508004,68,21
508005,34,14
508006,31,14
508007,66,18
508008,38,18
508009,39,20
508010,23,16
508011,7,7
524001,44,18
524002,57,24
524003,58,23
524004,49,20
524005,59,24
524006,39,17
524007,44,18
524008,24,14
524009,33,14
524010,32,18
524011,41,21
524012,10,5
524013,39,16
524014,32,15
558005,21,12
558020,13,8
558025,29,14
558030,20,15
558040,40,16
558050,5,3
558055,11,9
558065,6,6
558070,11,9
558075,8,8
558080,13,12
558085,3,3
558088,18,15
566001,3,3
566002,6,6
566003,3,3
566004,7,7
566005,7,7
566006,1,1
566007,5,5
566008,7,7
