GEOLEVEL1,gdis_events,gdis_years
643005,13,8
643007,7,5
643008,7,7
643010,2,2
643012,3,3
643014,4,4
643015,6,6
643017,3,3
643018,17,6
643019,4,4
643020,4,3
643022,1,1
643024,2,2
643025,8,6
643026,3,3
643027,2,2
643028,5,4
643029,2,2
643030,3,2
643032,3,3
643033,1,1
643034,1,1
643036,4,4
643037,2,2
643038,4,4
643041,6,6
643042,4,3
643044,3,3
643045,26,15
643046,1,1
643049,3,3
643050,10,8
643052,6,4
643053,1,1
643054,5,4
643056,3,3
643057,1,1
643060,3,3
643061,4,4
643063,2,2
643064,15,10
643065,4,3
643066,3,2
643068,3,3
643069,3,3
643070,2,2
643071,4,2
643072,1,1
643073,3,3
643075,5,5
643076,5,4
643078,2,2
643079,7,5
643080,8,7
643081,4,4
643082,8,7
643083,3,2
643084,6,3
643085,4,4
643086,1,1
643087,1,1
643088,1,1
643089,2,2
643090,5,3
643091,3,3
643092,3,3
643093,6,6
643094,1,1
643095,4,4
643096,7,6
643097,2,2
643098,9,7
643099,2,2
646002,24,10
646003,7,4
646004,6,4
646005,8,5
646006,8,5
646007,4,4
646008,25,13
646009,6,5
662003,4,3
662009,4,2
662010,4,3
662012,4,3
686001,10,8
686002,3,2
686003,6,6
686004,27,16
686005,11,8
686006,23,13
686007,8,8
686010,12,9
694024,1,1
694031,1,1
694032,2,2
694034,2,2
694041,4,4
694042,2,2
703001,8,8
703002,6,6
703003,3,3
703004,5,5
703005,5,5
703006,5,5
703007,12,8
703008,5,5
704001,32,17
704002,18,11
704003,23,11
704010,47,19
704014,15,11
704020,3,2
704022,16,14
704024,10,7
704030,2,2
704031,10,9
704034,8,8
704035,23,15
704038,35,23
704040,79,28
704044,35,21
704045,42,23
704046,32,19
704048,66,27
704051,44,22
704052,34,23
704054,23,15
704056,23,17
704058,25,15
704062,21,12
704066,20,15
704068,11,10
704070,2,1
704072,2,2
704075,9,6
704079,5,5
704080,14,10
704082,10,9
704083,6,6
704084,11,8
704087,17,14
704089,18,14
704091,10,10
704092,17,11
704095,7,4
705001,1,1
705002,2,2
705003,2,2
705004,3,3
705005,1,1
705006,1,1
705007,1,1
705008,1,1
705009,7,4
705010,2,2
705011,7,4
710001,28,19
710004,9,7
710005,55,25
710007,49,20
716001,13,7
716002,20,10
716003,8,2
716004,8,4
716005,9,5
716006,16,8
716007,20,8
716008,16,7
716009,4,4
724011,6,6
724012,2,2
724013,2,2
724021,7,7
724022,4,4
724023,2,2
724024,8,8
724030,2,2
724041,3,3
724042,5,5
724043,4,4
724051,12,11
724052,21,14
724053,4,4
724061,28,15
724062,12,11
728071,6,6
728072,10,8
728073,6,5
728081,7,6
728082,4,4
728083,6,5
728084,2,2
728092,1,1
728093,2,2
729011,11,10
729012,10,9
729021,9,9
729022,17,15
729023,9,9
729031,20,18
729041,13,13
729042,14,14
729043,13,12
729044,7,7
729051,17,17
729052,8,7
729061,5,5
729062,13,10
729063,7,7
740005,3,2
740006,1,1
740008,2,2
740010,12,3
756001,5,4
756002,11,10
756003,7,7
756004,6,6
756005,5,5
756006,4,4
756007,4,4
756008,2,2
756009,3,3
756010,5,5
756011,2,2
756012,2,2
756013,2,2
756014,2,2
756015,5,3
756017,3,3
756018,9,7
756019,3,3
756020,3,3
756021,8,8
756022,6,6
756023,10,9
756024,5,4
756025,6,6
756026,5,4
764010,10,9
764011,1,1
764012,3,3
764013,5,5
764014,15,12
764015,14,12
764016,14,11
764017,9,8
764018,17,13
764019,12,7
764020,14,11
764021,4,4
764022,9,9
764023,6,6
764024,9,8
764026,13,13
764027,9,8
764030,12,10
764031,9,9
764032,17,9
764033,12,11
764034,33,13
764036,14,12
764039,22,14
764040,15,13
764042,15,13
764043,15,11
764044,12,11
764045,9,9
764046,19,13
764047,14,11
764048,22,11
764050,17,11
764051,12,8
764052,18,11
764053,14,10
764054,21,13
764055,16,11
764057,52,21
764058,17,11
764060,20,17
764061,10,8
764062,13,12
764063,17,13
764064,19,13
764065,18,16
764066,19,15
764067,15,11
764070,4,3
764071,8,7
764072,10,8
764073,7,7
764074,1,1
764075,3,3
764076,7,7
764077,13,10
764080,33,23
764082,13,13
764083,9,9
764084,43,23
764086,37,22
764090,21,18
764091,22,16
764092,20,18
764093,20,17
764094,16,14
764095,19,17
764096,22,19
768001,14,9
768002,18,6
768003,7,5
780010,2,2
780020,1,1
780080,19,4
780094,2,2
792001,16,7
792002,5,5
792003,5,4
792004,5,4
792005,3,3
792006,12,7
792008,4,4
792009,3,3
792010,2,2
792011,2,2
792012,9,8
792015,4,4
792017,4,4
792019,4,4
792020,5,5
792021,9,8
792022,3,3
792023,7,6
792024,6,6
792025,15,7
792026,4,4
792028,4,4
792029,7,5
792031,5,4
792032,4,3
792033,4,3
792034,36,15
792035,6,4
792036,7,4
792037,2,2
792038,6,5
792039,4,4
792040,2,2
792042,7,3
792043,4,4
792044,6,4
792045,5,5
792046,2,2
792047,22,9
792048,5,5
792049,7,6
792050,2,2
792051,4,2
792052,4,4
792053,10,8
792054,7,5
792055,4,3
792057,3,3
792058,3,3
792059,6,6
792060,4,3
792061,9,9
792062,6,6
792063,4,4
792064,2,2
792065,9,8
792066,4,3
792067,17,7
792081,7,4
800102,4,4
800103,2,2
800104,2,2
800105,1,1
800106,1,1
800108,6,4
800110,2,2
800201,2,2
800202,5,4
800204,1,1
800205,1,1
800206,5,5
800207,4,2
800208,2,2
800209,16,9
800210,3,2
800301,6,4
800302,2,1
800303,3,2
800304,2,2
800305,4,2
800306,28,7
800307,4,1
800310,4,4
800401,6,6
800402,3,2
800404,3,3
800405,2,2
800406,7,7
800407,2,2
800408,1,1
800409,1,1
800412,2,2
804001,9,8
804005,7,6
804007,6,6
804012,5,4
804014,5,5
804018,6,5
804021,7,4
804023,5,5
804026,16,8
804032,6,4
804035,5,4
804044,6,5
804046,12,9
804048,5,4
804051,2,2
804053,4,4
804056,8,7
804059,5,5
804061,7,6
804063,6,6
804065,7,6
804068,7,6
804071,5,4
804073,7,4
804074,7,5
818001,3,3
818002,3,2
818013,1,1
818014,1,1
818015,1,1
818016,1,1
818018,2,1
818019,1,1
818022,1,1
818023,8,5
818024,3,3
818025,4,4
818026,3,3
818027,5,4
818028,2,2
818031,4,3
818033,2,1
818034,1,1
818035,8,5
826101,12,4
826102,21,8
826103,48,11
826104,30,7
826105,32,7
826106,14,6
826107,49,9
826108,52,12
826110,4,4
826111,28,15
826112,22,11
826113,4,3
834001,9,6
834002,23,12
834003,18,10
834004,13,9
834005,13,8
834006,16,6
834007,18,9
834008,6,6
834009,3,3
834010,2,2
834011,2,2
834012,9,9
834013,1,1
834014,5,4
834015,6,4
834016,4,4
834019,15,9
834020,3,3
834051,2,2
834052,1,1
834053,2,2
834888,6,6
840001,202,35
840002,9,7
840004,23,19
840005,161,38
840006,134,34
840008,82,33
840009,42,23
840010,22,14
840011,10,8
840012,99,32
840013,130,31
840015,6,5
840016,13,11
840017,162,35
840018,110,30
840019,94,30
840020,136,34
840021,100,31
840022,132,37
840023,29,19
840024,65,26
840025,52,25
840026,72,31
840027,67,29
840028,105,34
840029,139,35
840030,16,13
840031,70,28
840032,24,15
840033,27,18
840034,66,29
840035,22,17
840036,104,34
840037,89,31
840038,10,8
840039,106,30
840040,154,33
840041,24,16
840042,100,32
840044,31,17
840045,74,28
840046,33,21
840047,80,30
840048,298,44
840049,10,8
840050,26,17
840051,75,27
840053,49,24
840054,42,19
840055,73,26
840056,12,11
854001,5,4
854002,5,5
854003,9,8
854004,4,4
854005,12,7
854006,3,3
854007,3,2
854008,3,3
854009,12,8
854010,12,8
854011,6,6
854012,20,12
854013,4,3
858001,8,6
858002,13,12
858003,7,6
858004,9,8
858005,7,6
858006,10,9
858007,3,3
858008,7,5
858009,3,3
858010,5,5
858011,12,11
858012,8,7
858013,12,11
858014,5,4
858015,13,12
858016,5,5
858017,8,6
858018,9,7
858019,8,8
862001,11,9
862002,8,4
862003,5,5
862004,3,3
862005,15,12
862007,6,6
862008,5,5
862009,2,2
862010,3,3
862011,9,9
862012,1,1
862013,2,2
862014,10,7
862015,11,10
862016,4,4
862017,4,4
862018,3,3
862019,6,6
862020,9,9
862021,5,5
862022,3,3
862023,10,9
888888,17,15
894001,7,4
894002,2,2
894003,10,6
894005,9,9
894008,9,7
894009,17,7
894010,21,7
